totalPrice,price,square,floor,buildingType,constructionTime
352,35879,98.11,32,1,2002
615,72184,85.2,14,3,1996
344,50190,68.54,6,3,1994
240,42165,56.92,18,1,1996
430,34376,125.09,29,1,1999
441,29618,148.9,14,4,1996
490,41589,117.82,15,1,2007
237,49222,48.15,6,4,2006
258,41051,62.85,18,1,1997
458.5,39870,115,18,3,2011
309.5,49648,62.34,16,1,1986
404,43011,93.93,18,4,2003
125,14045,89,12,4,2011
220,16394,134.2,7,4,2001
720,61555,116.97,24,1,2008
568,78378,72.47,11,3,2003
193,42700,45.2,12,3,1996
240,44363,54.1,5,4,1980
285,49652,57.4,5,4,1982
308.5,34294,89.96,16,4,2007
505,40749,123.93,15,1,2004
713,99902,71.37,16,1,1992
198,56881,34.81,6,4,1980
293,46479,63.04,9,3,2011
835,47347,176.36,5,4,2005
472.5,56716,83.31,15,3,2010
756,98966,76.39,6,4,2001
168,36083,46.56,6,4,1994
488,80662,60.5,24,1,2001
179,32346,55.34,6,4,1992
270,27653,97.64,22,1,2003
238,22447,106.03,11,3,1999
392.5,44401,88.4,6,4,1996
254,21712,116.99,15,3,2010
381,47218,80.69,7,4,1998
320,48744,65.65,12,1,2008
260,24180,107.53,10,3,2006
278,46111,60.29,22,1,1998
277.5,31711,87.51,6,4,1999
715,47320,151.1,12,3,2008
410,36284,113,32,1,2003
212,45494,46.6,6,4,1980
333,40734,81.75,15,1,2007
156,26622,58.6,6,4,2008
376,57405,65.5,6,4,1998
246.8,27208,90.71,6,4,2009
187,15092,123.91,6,4,2006
430,45990,93.5,9,3,2005
430,68680,62.61,9,4,1999
550,24148,227.77,5,4,2002
525,56391,93.1,12,3,2001
206,37695,54.65,6,4,2000
336,38182,88,11,4,2011
360,50449,71.36,16,1,1986
388.8,40395,96.25,10,4,2007
307,52533,58.44,6,4,1995
130,19127,67.97,6,4,1995
373,54098,68.95,29,3,2009
375,60877,61.6,4,4,1964
120,21135,56.78,6,4,1988
248,53151,46.66,18,1,1996
325,35762,90.88,6,4,2000
354.2,31813,111.33,6,4,1996
409,30656,133.42,18,3,2005
200,34826,57.43,7,4,1994
472.5,60953,77.52,25,1,2001
510,85801,59.44,6,4,1991
615,70062,87.78,8,3,2010
320,21852,146.44,6,4,2005
330,53226,62,16,1,2009
437.5,41959,104.27,6,4,2003
357,57767,61.8,4,4,1994
255,35595,71.64,31,1,2003
355,59079,60.09,20,1,1998
808,47366,170.59,25,1,1995
1170,70533,165.88,22,1,2000
493.5,65792,75.01,6,4,1991
166,25129,66.06,6,4,2004
215,17970,119.65,20,4,2011
315,39658,79.43,16,4,2004
385,64598,59.6,6,4,1993
428,74773,57.24,5,4,1982
359,57950,61.95,21,1,2004
213,28668,74.3,6,4,1997
185,33509,55.21,6,4,1983
1345,65020,206.86,16,4,2001
233,21786,106.95,19,1,2004
208,22256,93.46,6,4,2004
396,51516,76.87,26,3,2007
429,101180,42.4,6,4,1987
352,76639,45.93,16,3,2012
920,56484,162.88,6,4,2011
500,70672,70.75,12,3,1996
335,46322,72.32,20,1,2000
247,29933,82.52,6,4,1995
233,51030,45.66,6,4,1986
373,58419,63.85,22,1,1990
275,41992,65.49,15,3,2010
477,87044,54.8,6,4,1996
346.8,34378,100.88,18,1,2001
478,81808,58.43,8,4,2009
430,64324,66.85,18,1,1989
511,57038,89.59,6,4,2013
178,29781,59.77,6,4,1987
1580,134813,117.2,16,1,2003
447,53444,83.64,6,4,1994
400,51821,77.19,9,3,1998
248,34095,72.74,18,1,1998
390,45834,85.09,6,4,1998
457,41005,111.45,15,3,2009
360,38120,94.44,7,4,2002
436,41924,104,6,4,2001
270,32101,84.11,14,4,2001
975,134743,72.36,11,3,2003
365,67593,54,6,4,1986
660,46437,142.13,24,1,2000
848.5,53901,157.42,27,3,2006
491,54623,89.89,16,4,2009
122,19204,63.53,3,4,1957
239,33343,71.68,16,1,1990
369,41932,88,10,4,2009
439,91842,47.8,6,4,1992
870,64545,134.79,18,1,2000
633,64950,97.46,28,1,2005
573,85332,67.15,17,3,2011
590,42392,139.18,22,3,2009
295,47405,62.23,11,3,2013
1750,100633,173.9,27,4,2009
400,64206,62.3,18,4,1985
850,79417,107.03,9,4,2005
898,75412,119.08,15,4,2004
2160,71434,302.38,28,4,2002
299.5,72396,41.37,16,3,1989
345,59907,57.59,6,4,1998
350,60775,57.59,6,4,1986
308,49202,62.6,7,4,1982
720,65236,110.37,16,1,2004
143,14676,97.44,7,4,1999
550,50279,109.39,9,4,2005
678.5,38005,178.53,11,4,2007
313,62600,50,6,4,1985
232,33106,70.08,22,3,2004
220,34554,63.67,18,3,2007
524,109281,47.95,18,1,1999
2000,59954,333.59,5,4,2003
150,41448,36.19,24,1,2009
235,43136,54.48,6,4,1984
153,18443,82.96,6,4,2002
268,30640,87.47,28,4,2013
240,28236,85,26,3,2014
360,78261,46,24,1,1997
148.2,14246,104,6,4,2007
482,64534,74.69,6,4,1997
293,32212,90.96,24,3,2013
102.5,22479,45.6,6,4,1992
400,43460,92.04,15,4,2009
297,29576,100.42,20,4,2007
433,47962,90.28,33,1,2008
280,28045,99.84,25,1,2004
175,38202,45.81,6,4,1993
